game_id,game_date,year,week,home_team,away_team,home_qb,away_qb,home_qb_epa,away_qb_epa,home_qb_snaps,away_qb_snaps,home_def_epa,away_def_epa,total_home_score,total_away_score
2000_05_SEA_KC,2000-10-02,2000,5,KC,SEA,E.Grbac,J.Kitna,0.27032760655172416,-0.01529415787500001,29,32,0.01529415787500001,-0.27032760655172416,24.0,17.0
2000_05_TB_WAS,2000-10-01,2000,5,WAS,TB,B.Johnson,S.King,-0.19331765562857142,-0.09299585452380954,35,42,0.09299585452380954,0.19331765562857142,20.0,17.0
2000_06_BAL_JAX,2000-10-08,2000,6,JAX,BAL,M.Brunell,T.Banks,-0.4253205703030302,-0.352660894047619,33,42,0.352660894047619,0.4253205703030302,10.0,15.0
2000_06_CLE_ARI,2000-10-08,2000,6,ARI,CLE,J.Plummer,T.Couch,0.070177815625,-0.09125212333333334,32,24,0.09125212333333334,-0.070177815625,29.0,21.0
2000_06_DEN_SD,2000-10-08,2000,6,LAC,DEN,J.Harbaugh,B.Griese,-0.3896764642553191,0.06932475463414635,47,41,-0.06932475463414635,0.3896764642553191,7.0,21.0
2000_06_GB_DET,2000-10-08,2000,6,DET,GB,C.Batch,B.Favre,0.021660764482758627,-0.2498115894680851,29,47,0.2498115894680851,-0.021660764482758627,31.0,24.0
2000_06_IND_NE,2000-10-08,2000,6,NE,IND,D.Bledsoe,P.Manning,0.15964933148148147,0.04741419918181818,27,55,-0.04741419918181818,-0.15964933148148147,24.0,16.0
2000_06_NO_CHI,2000-10-08,2000,6,CHI,NO,C.McNown,J.Blake,-0.520101588404762,0.2830784953703704,42,27,-0.2830784953703704,0.520101588404762,10.0,31.0
2000_06_NYG_ATL,2000-10-08,2000,6,ATL,NYG,D.Kanell,K.Collins,-0.3303521344736842,-0.31891341739999995,38,25,0.31891341739999995,0.3303521344736842,6.0,13.0
2000_06_OAK_SF,2000-10-08,2000,6,SF,LV,J.Garcia,R.Gannon,0.5017817947500001,0.14032468995348837,40,43,-0.14032468995348837,-0.5017817947500001,28.0,34.0
2000_06_PIT_NYJ,2000-10-08,2000,6,NYJ,PIT,R.Lucas,K.Stewart,-0.5723771342307693,0.31327662074074075,26,27,-0.31327662074074075,0.5723771342307693,3.0,20.0
2000_06_SEA_CAR,2000-10-08,2000,6,CAR,SEA,S.Beuerlein,B.Huard,0.3494465254,-0.17334322248648648,40,37,0.17334322248648648,-0.3494465254,26.0,3.0
2000_06_TB_MIN,2000-10-09,2000,6,MIN,TB,D.Culpepper,S.King,0.31631984711111116,0.23481182390697677,27,43,-0.23481182390697677,-0.31631984711111116,30.0,23.0
2000_06_TEN_CIN,2000-10-08,2000,6,CIN,TEN,A.Smith,S.McNair,-0.42906122733333335,0.1839447096470588,24,34,-0.1839447096470588,0.42906122733333335,14.0,23.0
2000_06_WAS_PHI,2000-10-08,2000,6,PHI,WAS,D.McNabb,B.Johnson,-0.07084900007692307,0.34189851615384614,39,39,-0.34189851615384614,0.07084900007692307,14.0,17.0
2000_07_ATL_STL,2000-10-15,2000,7,LA,ATL,K.Warner,C.Chandler,0.287853645,0.01822592815151517,44,33,-0.01822592815151517,-0.287853645,45.0,29.0
2000_07_BAL_WAS,2000-10-15,2000,7,WAS,BAL,B.Johnson,T.Banks,-0.06849602917857145,-0.3144041434375,28,32,0.3144041434375,0.06849602917857145,10.0,3.0
2000_07_CAR_NO,2000-10-15,2000,7,NO,CAR,J.Blake,S.Beuerlein,-0.08562577908333335,-0.30963632461764706,24,34,0.30963632461764706,0.08562577908333335,24.0,6.0
2000_07_CIN_PIT,2000-10-15,2000,7,PIT,CIN,K.Graham,A.Smith,-0.22936673628571427,-0.24751157291666667,35,24,0.24751157291666667,0.22936673628571427,15.0,0.0
2000_07_CLE_DEN,2000-10-15,2000,7,DEN,CLE,B.Griese,T.Couch,0.5550390677941176,-0.2218710296888889,34,45,0.2218710296888889,-0.5550390677941176,44.0,10.0
2000_07_DAL_NYG,2000-10-15,2000,7,NYG,DAL,K.Collins,T.Aikman,0.06489217982142859,-0.2308188041860465,28,43,0.2308188041860465,-0.06489217982142859,19.0,14.0
2000_07_IND_SEA,2000-10-15,2000,7,SEA,IND,B.Huard,P.Manning,0.1337178878125,0.46947721322580643,32,31,-0.46947721322580643,-0.1337178878125,24.0,37.0
2000_07_JAX_TEN,2000-10-16,2000,7,TEN,JAX,S.McNair,M.Brunell,0.6318103055,-0.19668838656249998,20,32,0.19668838656249998,-0.6318103055,27.0,13.0
2000_07_MIN_CHI,2000-10-15,2000,7,CHI,MIN,C.McNown,D.Culpepper,-0.015350870371428587,0.2845792696666667,35,30,-0.2845792696666667,0.015350870371428587,16.0,28.0
2000_07_NYJ_NE,2000-10-15,2000,7,NE,NYJ,D.Bledsoe,V.Testaverde,-0.644205155047619,-0.1321465171925926,42,27,0.1321465171925926,0.644205155047619,17.0,34.0
